a 100100100100100100100100100100100100101100100100100100100100
a-bleeding 1110001
a-brewing 1110001
abate 111100110
abide 111100010101
abject 111100100
able 101111100010
aboard 1110010
abode 1110010
about 100101101101101110001110010
above 11100101110001101
abram 11000
abridged 100
abroad 1001011110110
absence 10111110000011001
absent 111100110
abundance 101
accept 101111100011
acceptance 111100100
accepted 111100110
accident 111100110
accomplished 111100010
according 101110001110111
account 11110000011001
accoutred 111100010
accused 111100100
achieved 111100000
acknowledge 111100010
acquaintance 11010
acquainted 101111100010
acquitted 111100100101
act 100100100100100100100100100100100100101100100100100100100100
add 111100110
addressd 1110101
adieu 110001100011001101
admit 111100100
ado 100
advantage 11000
advantages 1110011
adventuring 100
adversary 111100100
advice 111100101
advised 10011000111100010
advisedly 111100110
aeson 111100110
afeard 1011110001101
affairs 1110010
affection 10110111100001110001
affections 10011101101110000
aforesaid 11010
after 1001100011001111000011001101
afternoon 10111011
afterward 11001
again 1001001001101110011001100101101101
against 11110000111000
age 110101110111
agitation 111100011
agree 11010
ague 100
aim 100
air 11110000011011
alabaster 100
alack 11011
alas 1011011001110111
albeit 1110010
alcides 110011110100
alien 111100100
alighted 1110101
alive 110101110000
all 100100100100100101100100100100100101100100100100100101
allay 110101110011
allding 111100000
allows 111100100
almost 10011100011110011101
alone 11110000010011010
along 111010011001
aloof 111100000
aloud 111100101
already 10111110000011001
alter 111100100
although 110001110111
always 111100011
am 100100100100100100100100100100100100101100100100100100101
amazed 111100110
ambassador 1110101
ambitious 111001111010
amen 110101110010
amiss 1110101
amity 111100000101
among 101101111001110011001
amorous 1110100
an 100101101101101100101101100100100100100101
ancient 11000111001011000
and 0100100100100100100100100100100100100101100100100100100100100
andrew 100
angel 11100111110100
animals 111100100
anon 11010111000011011
another 100100100111010011001100
answer 1100011100001110001100101
answerd 11101001110001
answers 11110000011001
ant 11010
antipodes 111100110
antonio 01001011101110111000100100100101101
antonio-- 100
antonio--o 1110111
antonioa 0
antonioand 11000111100001
antonioay 111100100
antoniobelieve 100
antoniobut 111100100
antoniocome 11000
antoniocontent 11000
antoniofarewell 100
antoniofie 1001110001
antoniohear 111100001
antoniohere 111100110
antoniohie 11000
antonioi 100101111011011000101
antonioin 100
antoniois 100
antoniolet 111100001
antoniomark 11000
antoniomost 111100100
antoniomy 111100100
antoniono 111100110
antonioready 111100100
antonios 111011110011001
antonioshylock 11000
antonioso 111100100
antoniosweet 111100110
antoniothe 111100001
antoniothis 11000
antoniothou 100
antoniowell 100101
antoniowhos 1110010
antoniowhy 11000
antonioyes 11000
antonioyou 100
antonioyour 100
any 1001001001001001110000101100101100100101
anything 11110000011001
apparel 1110001
apparent 111100100
appear 1101011100001100011001101
appeareth 111100100
appears 110001110101101101
appetite 1110010
applause 111100000
apple 11000
approach 1011110000
approaching 1110101
appropriation 101
approve 111100000
april 1110101
arabia 1110011
are 10010010010111000100100101101100101100100100100
argosies 100111100101
argosy 110001110100
argus 111100110
armd 111100100
army 111100011
arragon 1110101
arragonand 1110101
arragonarragon 0
arragoni 1110101
arragonwhat 1110101
arragonwhats 1110101
arrow 100
art 1101011001110001100111000
as 100100100100100101100100100100100101100101100100101
ash-wednesday 1110001
ashamed 1101111000
aside 11010110101110010100
ask 111100011100
aspect 10011000
asses 111100100
assume 111010111000
assumes 111100000
assured 100101111100001
at 010010010010010010010010010011000101100100100101100100
attain 11001
attempt 11001111100000
attempts 111100100
attend 100111100001
attendants 0111100000
attended 11110001011001
attendeth 111100100
attending 11001
attentive 111100110
attribute 111100100
aught 10111000110101101011011
authority 11110000011001
autumn 11000
avenue 111100110
awaked 111100110
awards 111100100
away 1101010110111000101100101101100100
awe 111100100
aweary 101
awhile 1001110111
axe 111100100
ay 11000111100001
bachelor 1110111
back 10011100101110000101
backward 11010
bad 10111101011110000
badge 11000
bag 1110100
bag-piper 100
bagpipe 111100100
bags 1110100
bait 1001110110
balance 111100100
balls 111100000
balthasar 0111100010101
balthasarmadam 111100010
baned 111100100
bank 111100110
bankrupt 111011111010
banks 111100110
bar 110101101011010
barbarous 1110101
barbary 111100000
bare 11101011110000
barely 111100100
bargain 111100000
bargains 110001110100
bark 1001110001
baron 101
barrabas 111100100
barren 11000
bars 110011110100
base 1110011101
basket 11010
bassanio 01001001001011100110111001100100100100100100
bassanio-- 1110001
bassanioand 111100000
bassanioantonio 111100100
bassanioaside 111100110
bassanioay 11000
bassaniobe 11000
bassanioby 111100110
bassanioconfess 111100000
bassaniodear 111100100
bassaniodo 111100100
bassanioere 111100000
bassanioevery 111100100
bassaniofor 11000111010111001
bassaniogo 111100100
bassaniogood 100111100011
